GID,predOf,DMCg,logFSY,logFRY,PA,StC,Anthractnose,ManchaBranca,ManchaParda,QueimaFolhas
Cacau-comum-SI,GEBV,-2.344355342,-0.410392248,-0.259290594,-0.179595362,-0.261745778,0,0.074615026,-0.062760342,-0.007843515
Cacau-fogo,GEBV,-1.016984949,-0.177597577,0.046973006,-0.25861084,0.016101066,0,0.030739614,-0.04209943,-0.002872268
Cacau-J,GEBV,-3.186703136,-0.343667633,-0.238766102,-0.418603799,-1.201579841,0,-0.031605781,-0.03466222,-0.000272877
Cacau-Je,GEBV,-1.313959349,-0.306811891,-0.188902132,-0.13964124,-0.310067422,0,-0.086799912,-0.030302977,0.001836441
Cacau-Nova-Aymores,GEBV,-1.577536958,-0.6759178,-0.393900374,0.042307369,-1.562323363,0,0.028667259,-0.040947124,-0.00238834
Cacau-roxa-CC,GEBV,-2.228361504,-0.360274165,-0.212316715,-0.142442797,-0.279950985,0,0.067241236,-0.062281871,-0.007617006
Cacau-vermelha,GEBV,-1.387693903,-0.086190521,-0.026454419,-0.605252633,-0.805441484,0,0.053702463,-0.007432709,0.00081019
Cacauzinha-Ar,GEBV,-2.315854864,-0.043343991,-0.263120323,0.214125062,-0.499664003,0,-0.027321964,-0.037869034,-0.002017554
Cacauzinha-SM,GEBV,-3.019291739,-0.505904314,-0.24206538,0.275320903,-0.294542592,0,0.032859054,-0.018163008,-0.000103791
Caipira-RA,GEBV,-1.099897354,-0.194769425,0.024348251,-0.313152704,0.201522421,0,0.028564137,-0.040976961,-0.002716571
Cana-Verde,GEBV,-1.08639987,-0.308914958,-0.262904607,-0.221702079,-0.280879494,0,-0.079499813,-0.02951991,0.002024517
Canelinha,GEBV,-2.272365341,-0.276275773,-0.078960307,-0.150456878,-0.328881199,0,0.058725041,-0.023435643,-0.001394247
Canoua-VNI,GEBV,-1.288456032,-0.241689418,0.025125347,-0.202461827,0.162690148,0,0.030529597,-0.048863111,-0.003779325
Carioquinha,GEBV,-0.911437971,-0.188328213,0.069134636,-0.269196804,0.085766203,0,0.029653489,-0.053647604,-0.003852597
BGM-2094,GEBV,-1.436946908,-0.654251035,-0.154192432,-0.76138526,0.318434459,0,0.090439013,-0.056771414,-0.007714512
Ceasa-SOO-1,GEBV,-2.824299459,-0.281029286,-0.209551174,-0.541221305,-0.974079516,0,-0.049341234,-0.043338014,-0.001214807
Cenoura-Ar,GEBV,-1.183480899,-0.160246075,-0.045977051,-0.239220674,-0.229298733,0,0.098103884,0.060791215,0.00386675
Chips-Nova-Aymores,GEBV,-3.000033061,-0.839229516,-0.306358039,0.187942353,-1.874683657,0,0.111293765,-0.034498625,-0.002140213
ciganaPreta2,GEBV,0.437412281,-0.051473685,-0.068709654,0.173147984,-0.274971075,0,0.004036548,0.012013383,0.004281738
CL-Acre,GEBV,-1.039107442,-0.148274084,-0.003606156,-0.254102223,-0.000984966,0,0.003978651,-0.047172027,-0.002705543
CL-Rangel,GEBV,-1.929239078,-0.653749358,-0.127989534,-0.443619295,-0.220217909,0,0.078487098,0.032298805,0.003263681
Conquista-1,GEBV,-1.791759714,-0.20300924,-0.209767724,0.270815964,-0.944738531,0,0.055107431,0.006661991,0.001539249
Conquista-2,GEBV,-1.881282369,-0.108443851,-0.194571378,0.793211619,0.116744352,0,-0.089152724,-0.063125163,-0.005236536
corrente,GEBV,0.467717845,0.038071516,0.144494642,0.097038027,0.15472186,0,0.098448457,-0.013444676,-0.00116258
CPAFRO-03,GEBV,-1.101390618,-0.074394024,-0.203129986,0.147920479,-0.60934436,0,-0.043374544,-0.008634932,-0.002590034
CPAFRO-04,GEBV,-0.107121551,-0.087038259,-0.231495134,0.374997618,-0.174262886,0,0.049406141,-0.028710052,-0.00715655
CPAFRO-05,GEBV,-0.230143813,0.138615168,0.003455907,0.006951189,-0.104736305,0,-0.016189304,-0.011267239,-0.000888278
CPAFRO-08,GEBV,-3.3673121,-0.335967261,-0.216589326,-0.469696988,-1.148194283,0,-0.039823025,-0.046265989,-0.001414123
CPAFRO-09,GEBV,-1.374564018,0.079285096,-0.490398735,0.737970016,-0.769969505,0,0.104093271,0.036037464,-0.001934435
CPAFRO-12,GEBV,-1.531877679,-0.124390491,0.023052496,0.075107766,0.216569015,0,0.026381947,0.039250813,0.004524209
CPAFRO-13,GEBV,-1.26662569,-0.406006018,-0.365218797,-0.213548426,-0.376534602,0,-0.104016857,-0.02329,0.002899482
CPAFRO-15,GEBV,-0.140765994,-0.005811326,0.014491931,-0.089182712,-0.546602895,0,-0.048934499,-0.043090482,-0.004065655
CPAFRO-16,GEBV,-0.867931863,-0.070335021,-0.095698242,-0.092674407,-0.221674875,0,-0.03332313,-0.041890005,-0.00434703
CPAFRO-18,GEBV,-0.782438294,-0.118980043,-0.258173252,0.231367902,-0.525748104,0,-0.041783101,-0.021855489,-0.00267971
CPAFRO-21,GEBV,-1.034726725,-0.335717977,-0.216829028,-0.104610749,-0.526950052,0,-0.084341714,-0.036744544,0.000943073
CPAFRO-24,GEBV,-1.434055394,-0.171484023,-0.315358236,0.572865396,-0.622069656,0,-0.002606321,-0.019420618,-0.000710308
CPAFRO-27,GEBV,-0.479168807,-0.353214612,-0.377426889,-0.006302405,-1.192461373,0,-0.03642566,-0.018645698,0.002287537
CPAFRO-28,GEBV,-0.520898856,-0.373629042,-0.392449168,0.055441047,-1.137718408,0,-0.036311026,-0.0188381,0.00219154
CPAFRO-35,GEBV,-0.815508298,-0.126328205,0.222928137,-0.335676687,-0.620231125,0,-0.027812748,0.029835517,0.001208676
CPAFRO-40,GEBV,-1.384836131,-0.365968977,-0.318799269,-0.276737915,-0.304060837,0,-0.107893539,-0.027436156,0.002434699
CPAFRO-06,GEBV,-0.352695229,-0.09824837,-0.035855552,-0.40333452,1.061846656,0,-0.060731986,0.023027608,0.005134197
CPAFRO-07,GEBV,-0.639881354,0.058001047,0.085113446,-0.197382953,-0.926875542,0,-0.023343624,-0.01412506,0.00085385
CPAFRO-29,GEBV,0.487797198,0.214109424,0.327039033,-0.472375813,-0.225469835,0,0.006992531,0.08119208,0.008615669
CPAFRO-33,GEBV,1.057646165,-0.124155346,-0.097048287,0.655389058,-0.313677291,0,-0.004260637,-0.038491735,-0.004276385
CPAFRO-42,GEBV,-2.064534349,-0.226517732,-0.148431621,1.172461847,-1.484246564,0,0.004979061,-0.048876891,-0.005918017
CPAFRO-43,GEBV,-0.864418312,-0.05433442,-0.178734046,0.118308993,-0.664559888,0,-0.035072547,-0.005252199,-0.00220618
ECU72,GEBV,-0.545595097,-0.317625698,-0.290145123,0.161250862,-0.870389776,0,0.026016398,-0.005892655,-0.001529816
Eucalipto(1),GEBV,-1.70238088,-0.297164573,-0.144118454,-0.800358647,-0.963712231,0,0.040047969,-0.033420645,0.00080706
Eucalipto-Nova-Aymores,GEBV,-1.17660509,-0.614545419,-0.356834553,0.003113212,-1.520707835,0,0.021956173,-0.038209886,-0.001981269
Folha-Fina,GEBV,-0.281622599,-0.109528694,-0.062660267,-0.315386442,1.023373838,0,-0.075752864,0.011829925,0.003777364
Gilmar-1,GEBV,-0.919630714,-0.381163589,-0.223765341,-0.090993744,-0.342642296,0,-0.08432054,-0.041802993,0.000524203
Guela-de-Jacu,GEBV,1.067627035,-0.029723754,-0.02941067,-0.08423637,1.322888509,0,-0.030153338,-0.011560674,-0.000896428
IAC-576(1),GEBV,0.938468806,0.063060337,0.025446171,-0.025325974,0.948710619,0,0.03697294,0.020392016,0.00425496
Ident-CCA,GEBV,-2.192348687,-0.282131974,-0.094881771,-0.1870995,-0.418355886,0,0.052284369,-0.026857291,-0.001558144
Inajazinha,GEBV,-0.549981422,-0.161568628,-0.213274396,0.636729079,0.390416487,0,0.007605786,-0.031160155,-0.004172955
Inca,GEBV,-1.662428206,-0.33802721,-0.141520498,0.159794868,-0.968579159,0,0.084932425,0.026226197,0.004448147
Jacona,GEBV,-0.475862701,0.118384582,-0.157949145,0.050480652,0.795343821,0,0.008830341,-0.092184598,-0.014467456
Joao-Florestal-1,GEBV,-2.864452163,0.152754706,0.222225812,-0.720039953,-0.982187712,0,-0.000694683,-0.005698318,0.002164355
Joao-Florestal-10,GEBV,-2.892485739,0.218768973,0.318452044,-0.959727038,-0.938370039,0,-0.000427176,-0.006587191,0.00230134
Joao-Florestal-2,GEBV,-2.68285659,0.192221158,0.2530787,-0.870039523,-0.760724145,0,0.005801793,0.001871204,0.002819293
Joao-Florestal-3,GEBV,-3.031760831,0.173204111,0.30833571,-1.005980054,-0.941160727,0,0.003202086,-0.001179664,0.002516037
Joao-Florestal-4,GEBV,-2.744380239,0.194007767,0.271091926,-0.810957988,-1.086675104,0,0.00518232,-0.002115546,0.002554392
Joao-Florestal-5,GEBV,-2.500680597,0.176251688,0.305000365,-0.907796603,-0.735805057,0,-0.001988428,-0.013228661,0.001314969
Joao-Florestal-6,GEBV,-0.474915023,-0.66605401,-0.518766979,0.418471769,-1.438020333,0,0.007880724,-0.043638697,-0.002648061
Joao-Florestal-7,GEBV,-2.662075747,0.151469741,0.260740994,-0.674766434,-0.794431216,0,-0.004295508,-0.009974233,0.001627783
Joao-Florestal-8,GEBV,-2.862963201,0.146027715,0.223578586,-0.694488184,-1.088001128,0,0.012216073,0.002508858,0.002789504
Joao-Florestal-9,GEBV,-2.866683104,0.19908673,0.286199379,-0.924471062,-1.125209509,0,0.00090826,-0.004028531,0.002356682
Mandioca-01-AC,GEBV,-3.750865261,-0.261386138,-0.246008864,-0.92395484,-1.550680342,0,0.0257031,0.033252086,0.00235648
Mandioca-02-AC,GEBV,-1.541292465,-0.279130405,-0.380403335,0.235428435,-0.478772306,0,0.046960412,-0.021334771,-9.34E-05
Mandioca-rosa,GEBV,-0.931359862,-0.350338003,-0.242152663,-0.15561525,-0.315731292,0,-0.08047438,-0.033356675,0.001486281
Manteiga,GEBV,-0.383176001,-0.227997524,-0.158256614,0.666325525,-0.588283165,0,0.10095561,0.01608363,0.000366119
Manteiga-aldeia,GEBV,-1.396336676,-0.250118625,-0.37488464,0.051102785,-0.337598117,0,0.03522729,-0.016556487,0.000316171
Manteiga-amarela,GEBV,-3.128370768,-0.273114837,-0.188777425,-0.621774813,-1.148560266,0,-0.042108283,-0.04513188,-0.00122072
Manteiga-Nova-Aymores,GEBV,-2.951610375,-0.536909109,-0.254269036,0.198284385,-0.563784528,0,0.046063614,-0.018314648,-0.000398344
Manteiga-SOO-1,GEBV,-2.986818292,-0.312804258,-0.267616132,-0.701680708,-1.140561021,0,-0.036861394,-0.036049849,-0.000602735
BGM-2291,GEBV,-1.592560007,-0.565261205,-0.315536329,0.438493439,0.913213494,0,0.105120368,0.027759447,-0.001070046
